name,employer
Dr. Ahmed Abukhater GISP,Pitney Bowes
Dr. Asarulislam Syed,California Department of Corrections and Rehabilitation
Dr. Ewen Neil McQueen,"Presbyterian Ladies' College, Sydney"
Dr. Frank W. Cyr Ph.D.,Columbia University
Dr. Ghananand Pande,Railway Board (India)
Dr. Harrison M. Wadsworth Jr.,Georgia Institute of Technology
Dr. Heinz Max Schlicke,Allen-Bradley
Dr. Isaiah Gafni,Hebrew University of Jerusalem
Dr. Jason Carthen,Redeemed Management & Consulting
Dr. John Marden,"Presbyterian Ladies' College, Sydney"
Dr. Muhammad Umar Memon,University of Wisconsin%E2%80%93Madison
Dr. Randy Woodson,North Carolina State University
Dr. Richard Steiner,Bernard Revel Graduate School of Jewish Studies
Dr. Steve K. Munsey,Family Christian Center
Dr. Steven Fine,Yeshiva University
Dr.Frank Conrad,Westinghouse Electric (1886)
Drew Cannon,Butler University
Drew Coble,American League
Duane Gish,Institute for Creation Research
Dugald Drummond,North British Railway
Dumitru Matcovschi,Academy of Sciences of Moldova
Duncan Norton-Taylor,Time (magazine)
Duncan Sommerville,Victoria University of Wellington
Durk I. Jager,Chiquita Brands International
Dusty Boggess,National League
Duy-Loan T. Le,Texas Instruments
Dwight Gustafson,Bob Jones University
Dylan Haskins,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Dylan Lauren,Dylan's Candy Bar
Dündar Taşer,Turkish Army
E. Wayles Browne,Cornell University
E.T. York Jr.,University of Florida
Eardley Peiris,Sri Lanka Broadcasting Corporation
Earl Herbert Orser,London Life Insurance Company
Earl Lawson,The Cincinnati Post
Ebs Akintade,BBC
Ed Harding,WCVB-TV
Ed Husain,Council on Foreign Relations
Ed Sudol,National League
Ed Woll,General Electric
Eddie Hurley,American League
Eddie McGuire,Southern Cross Austereo
Eddie Obeng,Royal Dutch Shell
Eddie Teare,Isle of Man Government
Edgar Allan Toppin,Virginia State University
Edgar F. Luckenbach,Luckenbach Steamship Company
Edgardo Leyva Escandón,Tijuana Cartel
Edith Evans Asbury,The New York Times
Edith Fowke,CBC Radio
Edmund Duffy,The Saturday Evening Post
Edmund Kennedy,New South Wales
Edmund Lowey,Isle of Man Government
Edna Greene Medford,Howard University
Eduardo Almanza Morales,Los Zetas
Eduardo Arellano Félix,Tijuana Cartel
Edward A. Batchelor,The Providence Journal
Edward Allen Pierce,Merrill Lynch
Edward Aloysius Cudahy Jr.,Cudahy Packing Company
Edward Arnold McNair,University of Cambridge
Edward B. Burling,Covington & Burling
Edward Bayard Heath,Glenn Curtiss
Edward Bennett Williams,Williams & Connolly
Edward C. Pulaski,United States Forest Service
Edward Christopher Willams,Howard University
Edward Crewe,West Midlands Police
Edward Curtis Wells,Boeing
Edward D. Ives,University of Maine
Edward Fountain,National League
Edward Gregson,Royal Northern College of Music
Edward Gresham Ball,Alfred I. duPont Testamentary Trust
Edward Groesbeck Voss,University of Michigan
Edward J. Wasp,Bechtel
Edward James Salisbury,"Queen Mary, University of London"
Edward L. Bishop,University of Alberta
Edward L. Thorndike,"Teachers College, Columbia University"
Edward M. Ed Morgan,University of Toronto
Edward M. Liddy,American International Group
Edward Nicholas Cole,General Motors
Edward Smith,White Star Line
Edward Stourton,ITN
Edward Walter Clark II,E. W. Clark & Co.
Edwin Dennis Kilbourne,New York Medical College
Edwin Durso,ESPN
Edwin Harrison McHenry,Northern Pacific Railway
Edwin Jones,Michigan National Bank
Edwy Plenel,Mediapart
Eiichirō Oda,Shueisha
Eileen K. Murray,Bridgewater Associates
Eiliv Austlid,Norwegian Army
Elaine Christy,Princeton University
Elaine Graham,University of Chester
Elana Dykewomon,San Francisco State University
Elbert K. Fretwell,Boy Scouts of America
Eli (Eliyahu) Hurvitz,The Trump Foundation
Eli Amir,Jewish Agency for Israel
Eli Maor,Loyola University Chicago
Elijah Millgram,University of Utah
Elita Loresca,KNBC
Eliyahu (Eli) Hurvitz,Teva Pharmaceutical Industries
Elizabeth Ann Danto,Hunter College
Elizabeth Carol Marlantes,ABC News
Elizabeth Espinosa,XETV-TV
Elizabeth Price Foley,Florida International University
Elizabeth Tylden,University College Hospital
Ella McSweeney,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Ellen J. Kullman,DuPont
Ellen Wolf Schrecker,Stern College for Women
Elles Berger,Vara
Elliot S! Maggin,New Hampshire
Elliot Schrage,Facebook
Ellis Hollins,Lime Pictures
Elmo Fernando,Sri Lanka Broadcasting Corporation
Emery Bopp,Bob Jones University
Emil Hurezeanu,Realitatea-Ca%C5%A3avencu
Emilio Botín,"Santander, Spain"
Emma Freedman,Nine Network
Emma Hwang,Wyle Laboratories
Emma Willis,ITV (TV network)
Emmanuelle Alt,Cond%C3%A9 Nast Publications
Emmett Ashford,American League
Emília Vášáryová,Slovak National Theatre
Enrico Casarosa,Pixar
Enrique Máximo García,University of Murcia
Eoghan McDermott,TG4
Ergun M. Caner,Arlington Baptist College
Eric Engberg,Westinghouse Broadcasting
Eric Johnston,Motion Picture Association of America
Eric L Motley,Aspen Institute
Eric Maxwell Hammel,W. T. Grant
Eric O,Federal Bureau of Investigation
Eric Olsen,Lafarge
Eric Paul Allman,Sendmail
Eric Schmidt,Google
Eric Swanson,BATS Global Markets
Eric Tanenblatt,McKenna Long & Aldridge
Erich Šlomović,Ambroise Vollard
Erik Paul Oskar Gillberg,Sisu Auto
Erik-Jan de Boer,Rhythm and Hues Studios
Erika Lauren Wasilewski,WMMS
Erkki Pohjanheimo,Yle
Erkki Toivanen,Yle
Ernest Nys,Free University of Brussels
Ernie Manouse,KUHT
Ernst Christian Friedrich Schering,Schering AG
Ernst Nolte,University of Marburg
Esam S. Omeish,Inova Health System
Esko Valtaoja,University of Turku
Essington Lewis,BHP Billiton
Ettore Arco Isidoro Bugatti,Bugatti
Eugen Rosenstock-Huessy,Dartmouth College
Eugene John Hebert,Society of Jesus
Eugene Polley,Zenith Electronics
Eugene Thomas Maleska,The New York Times
Eugenio Coşeriu,University of the Republic (Uruguay)
Eugenio Garza Lagüera,FEMSA
Eugenio Moggi,University of Genoa
Eugenius Harvey Outerbridge,Port Authority of New York and New Jersey
Eva Paterson,Equal Justice Society
Evan F. Kohlmann,Nine Eleven Finding Answers Foundation
Evarts Ambrose Graham M.D.,Washington University School of Medicine
Evelyn O,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Evi Gkotzaridis,Sabanc%C4%B1 University
Ezra Klein,The Washington Post
Fabio Fazio,RAI
Faisal Islam,Channel 4 News
Farnaz Ghazizadeh,BBC Persian
Fawaz Jay Mulafer,Lite FM
Fawzia Afzal-Khan,Montclair State University
Faye Leung,Hong Kong Ballet
Fearne Cotton,BBC Radio 1
Felicity Landon,Freelancer
Felix George Rohatyn,Lazard
Fereidoun Biglari,National Museum of Iran
Fern Britton,ITV (TV network)
Fiennes Cornwallis,British Army
Filip and Fredrik,Kanal 5 (Sweden)
Fiore Furlano de,"Niccol%C3%B2 III d'Este, Marquis of Ferrara"
Flavio Méndez Santiago,Los Zetas
Floyd Abrams,Cahill Gordon & Reindel
Fr. Leopold Moczygemba OFM Conv,Conventual Franciscans
Frances Bay,Canadian Broadcasting Corporation
Francis C. Speight,New York City Police Department
Francis Frank J. Aquila,Sullivan & Cromwell
Francis J. Banfield,New York City Police Department
Francis Jay Underhill,J. & W. Seligman & Co.
Francis Joseph Bayldon,Burns Philp
Francis Oliver Haddock,"Needham, Massachusetts"
Francis Trevithick,London and North Western Railway
Francisco Hernández García,Beltr%C3%A1n-Leyva Cartel
Francisco de Orellana,"Charles V, Holy Roman Emperor"
Franck Goldnadel,A%C3%A9roports de Paris
Frank Austin Scott,Rutgers University
Frank Behle,National League
Frank Brett Noyes,The Washington Star
Frank Bunker Gilbreth Sr.,Purdue University
Frank C. Baxter,University of Southern California
Frank Cicutto,National Australia Bank
Frank Dascoli,National League
Frank Eugene Lutz,New York City
Frank Gillard,BBC
Frank Graham,The New York Sun
Frank Gruber,Tech Cocktail
Frank I. Michelman,Harvard Law School
Frank Jennings Tipler,Tulane University
Frank Laskier,Merchant Navy (United Kingdom)
Frank Scully,Variety (magazine)
Frank Tabacchi,American League
Frank Umont,American League
Frankie Housley,National Airlines (NA)
Franklin Allen,University of Pennsylvania
Franz Halberg,University of Minnesota
Franz Schurmann,Pacific News Service
François Castaing,Renault
Fred Dinenage,ITV Meridian
Fred Hickman,Fox Sports (United States)
Fred Lincoln,National League
Fred Talbot,ITV (TV network)
Frederic Raphael Jevons,University of Melbourne
Frederick Banister,"London, Brighton and South Coast Railway"
Frederick Berger,National League
Frederick Bligh Bond,Church of England
Frederick Charles Tillis,University of Massachusetts Amherst
Frederick D. Colson,New York
Frederick D. Sulcer,DDB Worldwide
Frederick H. Joseph,Drexel Burnham Lambert
Frederick Kagan,American Enterprise Institute
Frederick Knab,Smithsonian Institution
Frederick Louis Maytag III,York Creek Vineyards
Frederick W. Gluck,McKinsey & Company
Frederick Wallace Smith,FedEx
Frederick Westervelt,National League
Fredrik Halvorsen,Seadrill
Friedrich Wilhelm Mengelberg,Guild of St. Bernulphus
Fritz Egner,Bayerischer Rundfunk
Fritz Gajewski,IG Farben
Fritz Mannheimer,Mendelssohn & Co.
Fritz von Opel,Opel
Frédéric Lepied,Splitted-Desktop Systems
Furman Bisher,The Charlotte News
G. Robert Blakey,Notre Dame Law School
Gabby Logan,Channel 5 (UK)
Gabriel Moran,New York University
Gabriella Coleman,McGill University
Galen T. Porter,New York City Police Department
Galvão Bueno,SporTV
Gareth O,4fm
Garnet Bush,National League
Garry M. Gaber,LucasArts
Garry Shewan,Greater Manchester Police
Gary D. Solis,Georgetown University Law Center
Gary England,KWTV-DT
Gary Lee,Time (magazine)
Gary Lewinson,The Football Association
Gary P. Brinson,UBS
Gary Parr,Lazard
Gary Steiner,Bucknell University
Gaston Calmette,Le Figaro
Gause Rufus Hollis,"Cleveland, Tennessee"
Gautam Thapar,Avantha Group
Gavin Esler,BBC
Gavin Schmidt,Goddard Institute for Space Studies
Gay Byrne,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Geert Lovink,University of Amsterdam
Gene P. Lavanchy,WFXT
Gene Sherman,Los Angeles Times
Gene Steuerle,Urban Institute
Gene Weingarten,The Washington Post
Genevievette E. Walker-Lightfoot,U.S. Securities and Exchange Commission
Geoff Lazer Ramsey,Rooster Teeth Productions
Geoff Lloyd,Absolute Radio
Geoffrey Keith Pullum,University of Edinburgh
Geoffrey Robertson,Doughty Street Chambers
Geoffrey S. Fletcher,Tisch School of the Arts
Geoffrey Sayre-McCord,University of North Carolina at Chapel Hill
Georg von Schnitzler,IG Farben
George A. Killenberg,The Washington Post
George Ballingall,Military medicine
George Barr,National League
George Beveridge,The Washington Star
George Bodenheimer,ESPN
George C. Kern,Sullivan & Cromwell
George Carter,Gloster Aircraft Company
George Dovey,St. Louis Car Company
George Eid,"MTV,Lebanon"
George F. Houck,Roman Catholic Diocese of Cleveland
George Frederick Kunz,United States Geological Survey
George Frederick Labram,De Beers
George H Steuart,Federal government of the United States
George H. Diller,NASA
George Hamilton,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
George J. Michael,University of Virginia's College at Wise
George Law Cawkwell,"University College, Oxford"
George Locke,Toronto Public Library
George Lynn Cross,University of Oklahoma
George MacKinnon Wrong,University of Toronto
George Magerkurth,National League
George Maloney,American League
George Martin Stephen,"St Paul's School, London"
George McElroy,University of Houston
George Nathan Parks,University of Massachusetts Amherst
George Page,WSB-TV
George Prosper Van Verboom Marquis of Verboom,Monarchy of Spain
George Randolph Hearst,Hearst Corporation
George Randolph Hearst III,Hearst Corporation
George Soros,Soros Fund Management
George Thurland Prior,Natural History Museum
George W Davis,20th Century Fox
George W Hilton,"University of California, Los Angeles"
George W. Mason,Nash-Kelvinator
George W. McClusky,New York City Police Department
George Waldo Woodruff,The Coca-Cola Company
George Will,ABC News
George Zambelli Sr.,Zambelli Fireworks
Georges S. Agabekov,Comintern
Georgie Gardner,Nine Network
Georgy Mikhailovich Beriev,Beriev
Ger Canning,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Gerald D. Griffin,NASA
Gerald Emmett Teifer,Acuff-Rose Music
Gerald Hawkins,Boston University
Gerald Hine-Haycock,Westward Television
Gerald L. Early,Washington University in St. Louis
Gerald M. Loeb,E. F. Hutton & Co.
Gerald Michael Feierstein,Senior Foreign Service
Gerald Tsai Jr.,Primerica
Gerard Teuma,Gibraltar Broadcasting Corporation
Gerda Christian,Adolf Hitler
Geri Maye,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Gernot Heiser,University of New South Wales
Gerry Anderson,Lew Grade
Gerry Fitzsimons,TTP Ventures
Gerti Deutsch,Picture Post
Gertrude Mary Cox,RTI International
Gethin Jones,ITV Breakfast
Gheorghe E. Cojocaru,Academy of Sciences of Moldova
Ghulam Murshid,University of London
Giacomo Luigi Ciamician,University of Bologna
Gib Shanley,WUAB
Giles Coren,The Times
Ginna Marston,Ted Bates (advertising firm)
Ginni Rometty,IBM
Giovanni Battista Calvi,Monarchy of Spain
Gladys Tantaquidgeon,Bureau of Indian Affairs
Glenn Branch,National Center for Science Education
Glenn Elliott,Asperity Employee Benefits
Glenn Odekirk,Hughes Aircraft Company
Glyn Mathias,Ofcom
Gobind Behari Lal,Hearst Corporation
Godfrey Tanner,University of Newcastle (Australia)
Gok Wan,Channel 4
Gopal Bhatnagar,Trillium Health Centre
Gopal Poddar,Limtex
Gordon Briscoe,Australian National University
Grace Helbig,My Damn Channel
Grace Paine Terzian,Hudson Institute
Grace Wyndham Goldie,BBC
Graeme Smith,Global Radio
Graham E. Fuller,Central Intelligence Agency
Graham McNeill,Games Workshop
Graham Walker,Patrick Henry College
Grant Denyer,Seven Network
Greg Bonin,National League
Greg Burke,Secretariat of State (Holy See)
Greg Evans,3SR FM
Greg James,BBC
Greg Kelly,WNYW
Greg Mortenson,Central Asia Institute
Greg Street,Blizzard Entertainment
Greg Zipadelli,Stewart-Haas Racing
Gregg Mayles,Rare Ltd.
Gregg Wallace,BBC
Gregorio Sauceda Gamboa,Los Zetas
Gregory Fraser,University of West Georgia
Gregory Winston Slayton,Slayton Capital
Gretel Killeen,Network Ten
Grey Owl,List of National Parks of Canada
Grigore D. Constantinescu,Chi%C5%9Fin%C4%83u Theological Seminary
Grigore Singurel,Radio Free Europe/Radio Liberty
Grover Froese,American League
Grzegorz Marek Michalski,Wroc%C5%82aw University of Economics
Grzegorz Strauchold,University of Wroc%C5%82aw
Guenter Wendt,Rockwell International
Guido van Rossum,Dropbox (service)
Guillaume Lebrun,Patrick Guilbaud
Gunnar Larsen,Dagbladet
Gurnee Munn,American Totalisator
Gus Sorola,Rooster Teeth Productions
Gustav Gust Avrakotos,Central Intelligence Agency
Gustavo Cardoso,ISCTE %E2%80%93 Lisbon University Institute
Gustavo Gutiérrez O.P.,University of Notre Dame
Gustavo Gómez,Caracol Radio
Guy Hands,Terra Firma Capital Partners
Guyon Espiner,TV3 (New Zealand)
Gérard Feldzer,Air France
Gérard Rozenknop,Directorate General for Civil Aviation (France)
Göran Wahlenberg,Uppsala University
Günther Fielmann,Fielmann
H. A. Sinclair de Rochemont,Schutzstaffel
H. Bruce Humberstone,20th Century Fox
H. David Kotz,Berkeley Research Group
H. Harold Hume,University of Florida
H. Holden Thorp,University of North Carolina at Chapel Hill
HD Moore,Rapid7
Hacker T. Dog,BBC
Haim Farhi,Jezzar Pasha
Hal Dixon,National League
Hal Weafer,American League
Hallie Ford,Roseburg Forest Products
Ham Avery,National Association of Professional Base Ball Players
Hamilton Fish Armstrong,Council on Foreign Relations
Hamish McLachlan,Triple M Network
Han Bi-ya,World Vision International
Hanna Zemer,Davar
Hans Albert Einstein,"University of California, Berkeley"
Hans Charles Freeman,University of Sydney
Hans F. K. Günther,University of Jena
Hans M. Kristensen,Federation of American Scientists
Hans Stråberg,Electrolux
Hans Talhoffer,Luithold von K%C3%B6nigsegg
Hans-Dieter Brenner,Helaba
Haradanahalli Ramaswamy Janardhana Iyengar,Bangalore
Harald Hoyer,Red Hat
Harold Fishman,Tribune Broadcasting
Harold Fowler McCormick Sr.,International Harvester
Harold Greene,KCBS-TV
Harold Gresley,Repton School
Harold Lee Scott,Walmart
Harold Sines Vance,United States Atomic Energy Commission
Harriet Cass,BBC Radio 4
Harry Allen,Her Majesty's Prison Service
Harry Bentley Bradley,Mattel
Harry Dexter White,United States Department of the Treasury
Harry Geisel,American League
Harry Miller Lydenberg,New York Public Library
Harry Schwarts,American League
Harry Smith Wainwright,South Eastern and Chatham Railway
Haruhiko Tanahashi,Toyota
Harvey Edward Fisk,Fisk & Robinson
Harvey Jerome Brudner,Westinghouse Electric (1886)
Harvey Pollack,Philadelphia 76ers
Harvey R. Miller,"Weil, Gotshal & Manges"
Hashem El-Serag,Baylor College of Medicine
Havoc Pennington,TypeSafe
Hazel Bishop,"Hazel Bishop, Inc."
Heather Cox,ESPN
Heather Gladys Shakespeare,The Canberra Times
Hector,TG4
Heinrich Gattineau,IG Farben
Heinrich Oster,IG Farben
Heinrich von Treitschke,University of Freiburg
Heinz Waaske,Wirgin
Helen Boaden,BBC
Helen Corbitt,Neiman Marcus
Helen Mary Malcolm,BBC
Helen Sworn,Hemyock
Helga Vlahović,Yugoslav Radio Television
Helge Boes,Central Intelligence Agency
Henmi Sōsuke,Sakura Domain
Henning Lohner,Remote Control Productions
Henri Paul,Mohamed Al-Fayed
Henry,University of Oklahoma College of Medicine
Henry Cary,British Museum
Henry Christy,London Joint-Stock Bank
Henry Grinnell,"Grinnell, Minturn & Co"
Henry Hurwitz Jr.,Manhattan Project
Henry James Emmett,War Office
Henry L. Michel,Parsons Brinckerhoff
Henry Rodgin Cohen,Sullivan & Cromwell
Henry S. Rubin,Quincy College
Henry Silverman,Cendant
Henry Sleeper Harper,Harper (publisher)
Henry Strasak,United States Department of War
Henry Wise Hobson,Episcopal Church (United States)
Herbert Eustis Winlock,Metropolitan Museum of Art
Herbert Jankuhn,Ahnenerbe
Herbert Nigel Gresley,London and North Eastern Railway
Herman Edward Hollis,Federal Bureau of Investigation
Herman Gummerus,University of Helsinki
Herman H. Fussler,New York Public Library
Herman Philipse,Utrecht University
Herman van Ham,Hostellerie De Hamert
Hermann Pohlmann,Junkers
Hermann-Josef Lamberti,Deutsche Bank
Hervé Renaudeau,IONIS Education Group
Hewitt D. Crane,United States Navy
Hiram Wesley Evans,Ku Klux Klan
Hiroaki Miura,Aoni Production
Hiroshi Ishiguro,Osaka University
Hiroyuki Kobayashi,Capcom
Hiroyuki Takahashi,Camelot Software Planning
Hiroyuki Takei,Shueisha
Hisayuki Toriumi,Tatsunoko Production
Hoi Kim Heng,Singapore Police Force
Holly Rowe,ESPN
Holly Willoughby,ITV (TV network)
Horst Piepenburg,Piepenburg & Gerling
Howard A. Chinn,CBS
Howard Draft,Draftfcb
Howard Hille Johnson,West Virginia Schools for the Deaf and Blind
Howard Steven Friedman,United Nations
Howard Thomas,Thames Television
Hrvoje Turković,"Academy of Dramatic Art, University of Zagreb"
Hugh Ford,Imperial College London
Hugh Harrison (Harry) Hurt Jr.,University of Southern California
Hugh Schofield,BBC
Hugo Jaeger,Adolf Hitler
Humayra Abedin,Whipps Cross University Hospital
Huw Edwards,BBC
Håkan Andersson,Detroit Red Wings
Héctor Francisco Medina Polanco,Omega Visi%C3%B3n
Héctor Huerta-Ríos,Beltr%C3%A1n-Leyva Cartel
Héctor Luis Palma Salazar,Sinaloa Cartel
I. Glenn Cohen,Harvard Law School
Iain Hook,United Nations Relief and Works Agency for Palestine Refugees in the Near East
Iain Ross Edgar,Durham University
Ian Callum,Jaguar Cars
Ian Davis,McKinsey & Company
Ian Dempsey,Today FM
Ian Hanomansing,Canadian Broadcasting Corporation
Ian Hickson,Google
Ian Hislop,Private Eye
Ian Jenkins,British Museum
Ian Laurence Scott,National Australia Bank
Ian Learmonth,Kent Police
Ian Payne,ITV (TV network)
Ian Samwell,Warner Bros. Records
Ian Verner Macdonald,Trade Commissioner Service
Ibrahim Eissa,Al Tahrir (newspaper)
Ignacio Coronel Villarreal,Sinaloa Cartel
Igor Caşu,Moldova State University
Igor Munteanu,Radio Free Europe/Radio Liberty
Igor Sysoev,"NGINX, Inc."
Ilan I. Berman,American Foreign Policy Council
Ilan Pappé,University of Exeter
Illich Guardiola,Seraphim Digital
India Fisher,BBC
Indra Nooyi,PepsiCo
Indulal Yagnik,Bombay Samachar
Ingo Molnár,Red Hat
Ingrid Timková,Slovak National Theatre
Iolo Williams,Royal Society for the Protection of Birds
Ion Bostan,Technical University of Moldova
Ion Ciocan,E%C3%B6tv%C3%B6s Lor%C3%A1nd University
Ion Creangă,Parliament of the Republic of Moldova
Irene Khan,University of Salford
Irene Tsu,Coldwell Banker
Irwin Shapiro,Western Publishing
Isaac D,John Murray (publisher)
Isaac Ike Perlmutter,Marvel Entertainment
Isaiah Rynders,Tammany Hall
Ishtiaq Hussain,Government of the United Kingdom
Iva Toguri D,NHK
Ivan Gazidis,Arsenal F.C.
Ivan Krstić,Apple Inc.
Iván Velázquez Caballero,Los Zetas
J Mays,Ford Motor Company
J. Christopher Flowers,J.C. Flowers & Co.
J. D. Morgan,"University of California, Los Angeles"
J. Evans Attwell,Vinson & Elkins
J. Hillis Miller Sr.,University of Florida
J. R. Malone,American Association (19th century)
J. Wayne Reitz,University of Illinois at Urbana%E2%80%93Champaign
J.L. Tarr,Boy Scouts of America
Jacey Normand,BBC
Jack Chojnacki,American Greetings
Jack Curry,New York Yankees
Jack Good,BBC Television
Jack Jean McCauley,Oculus Rift
Jack King,United Space Alliance
Jack Kirkbride,Oldham Evening Chronicle
Jack McQuaid,National League
Jack Thomas,Western Illinois University
Jackey Jackey,New South Wales
Jackie Johnson,WSVN
Jackie McDonald,1971 Balmoral Furniture Company bombing
Jacob Coleman Hurewitz,United States Department of Defense
Jacob Roggeveen,Dutch West India Company
Jacob Rutsen Hardenbergh,Rutgers University
Jacqueline A. Noonan,University of Kentucky
Jacqueline Hernández,Telemundo Media
Jacqueline Stone,WebMD
Jacques Kemp,ING Group
Jacqui Hurley,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Jacqui Oatley,BBC
Jade Raymond,Ubisoft Toronto
Jadwiga Piłsudska-Jaraczewska,London County Council
Jake Humphrey,Channel 4
Jake Hurwitz,CollegeHumor
Jake Tapper,CNN
Jalal Alamgir,University of Massachusetts Boston
Jameela Jamil,Channel 4
James Allison,Lotus F1
James B. Allen,Brigham Young University
James B. Lee Jr.,JPMorgan Chase
James B. McClintock,University of Alabama at Birmingham
James Bullough Lansing,Lansing Manufacturing Company
James C. Bliss,Telesensory Systems
James C. Donnell,Marathon Oil
James Clifford Miller III,Husch Blackwell
James Coulter,TPG Capital
James Cusack,Capital (radio network)
James Devine,Devine Advertising Associates
James Edward McConnell,London and North Western Railway
James Fallows,The Atlantic
James Gattuso,The Heritage Foundation
James Goodale,Debevoise & Plimpton
James Green,University of Massachusetts Boston
James Gustafson,Emory University
James H. Nicholson,American International Pictures
James Hamilton-Paterson,New Statesman
James Harry Covington,Covington & Burling
James Herbert Pomerene,Institute for Advanced Study
James I,"South Eastern Railway, UK"
James J. Mulva,ConocoPhillips
James L. Perry,Indiana University
James M. Cantor,University of Toronto
James M. Danko,Villanova University
James M. Farr,University of Florida
James Marriott,Virgin Books
James Maury,Federal government of the United States
James May,The Daily Telegraph
James McKay,James McKay & Co
James R. Cook Jr.,South Jersey Times
James Ralph Record,"Madison County, Alabama"
James Rand Jr.,Sperry Corporation
James Reynolds Bath,Salem bin Laden
James Ronald Warren,Museum of History & Industry (MOHAI)
James Sanderson,Southwark
James Stirling (1835–1917),"South Eastern Railway, UK"
James Sumner,National League
James Tate,Richmond School
James Tobin,Seven Network
James Tod,East India Company
James Turnbull,Puppet Labs
James Valentine Jelley,Birmingham School of Art
James Z. Bogart,New York City Police Department
Jami Miscik,Kissinger Associates
Jamillah Knowles,The Next Web
Jan Crawford,CBS News
Jan G.F. Veldhuis,Utrecht University
Jan Hopkins,CNNfn
Jane Andrews,"Sarah, Duchess of York"
Jane Doyle,Seven Network
Jane Jacobs,Architectural Forum
Jane Susan Garvey,BBC
Jane Zemiro,University of Sydney
Janet Maslin,The New York Times
Janet Wu,WCVB-TV
Janet Wu,WHDH (TV)
Janette Barber,Rosie O'Donnell
Janice G. Raymond,University of Massachusetts Amherst
Janko Prunk,Social science
Japhet Asher,BBC
Japhet Yao Ledo,"Evangelical Presbyterian Church, Ghana"
Jared Fogle,Subway (restaurant)
Jared M. Spool,User Interface Engineering
Jared Moskowitz,Ashbritt
Jaron Lanier,Microsoft Research
Jason Castriota,Saab Automobile
Jason King,Global Radio
Jason Pontin,Technology Review
Jason Ratcliff,Joe Gibbs Racing
Jason Smith,NFL Network
Jason Zimbler,HBO
Javier Garciadiego,El Colegio de M%C3%A9xico
Jay Jacobs,Southeastern Conference
Jayakant Mishra,Allahabad University
Jayme Matarazzo,Rede Globo
Jean Martirez,KTTV
Jean-Charles Darmon,Versailles Saint-Quentin-en-Yvelines University
Jean-Luc Vayssière,Versailles Saint-Quentin-en-Yvelines University
Jean-Marie Roland de la Platière,Louis XVI of France
Jean-Michel Vernhes,Toulouse %E2%80%93 Blagnac Airport
Jean-Paul Rodrigue,Hofstra University
Jean-Paul Troadec,Bureau d'Enqu%C3%AAtes et d'Analyses pour la S%C3%A9curit%C3%A9 de l'Aviation Civile
Jean-Yves Mollier,Versailles Saint-Quentin-en-Yvelines University
Jeanne L. Noble,New York University
Jeanne Mance,Soci%C3%A9t%C3%A9 Notre-Dame de Montr%C3%A9al
Jeff Broin,POET
Jeff Gaspin,NBCUniversal
Jeff Green,Ziff Davis
Jeff Kuhner,WRKO
Jeff Noddle,SuperValu (United States)
Jeff Robbin,Apple Inc.
Jeff Sharlet,Rolling Stone
Jeff Zucker,CNN
Jeffrey Gedmin,Legatum
Jeffrey L. Fisher,Stanford Law School
Jeffrey M. Schwartz,"University of California, Los Angeles"
Jeffrey Peter Hart,National Review
Jeffrey Thomas O,University of Virginia
Jen Consalvo,Tech Cocktail
Jennie Gow,BBC Sport
Jennifer Dulski,Change.org
Jennifer Finney Boylan,Colby College
Jennifer Maguire,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Jenny Kelly,Today FM
Jerald Posman,City College of New York
Jere Ratcliffe,Boy Scouts of America
Jeremiah Slaczka,5th Cell
Jeremy Inman,Funimation
Jeremy Kyle,ITV plc
Jeremy Paxman,BBC
Jeremy Vine,BBC
Jerry D. Thompson,Texas A&M International University
Jerry Dale,National League
Jerry Dunphy,KCBS-TV
Jerry Jewell,Funimation
Jerry Parr,United States Secret Service
Jesco von Puttkamer,NASA
Jesse Divnich,Electronic Entertainment Design and Research
Jesse Russell,"IncNETWORKS, Inc."
Jessica Feshbach,David Miscavige
Jessica Holmes,KTLA
Jessica Mathews,Carnegie Endowment for International Peace
Jessica Meir,University of British Columbia
Jessica Rowe,Seven Network
Jessie Ball duPont,Alfred I. duPont Testamentary Trust
Jessie Paul,Chief executive officer
Jesús Silva Herzog,National Autonomous University of Mexico
Jiang Heping (江和平),China Central Television
Jill Belland,CKAL-DT
Jill Dando,BBC
Jim Boyer,American League
Jim Breyer,Accel Partners
Jim Case,Rocky Mountain PBS
Jim Duffy,American League
Jim Fahy,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Jim Fitzgerald,National Basketball Association
Jim Gianopulos,Fox Entertainment Group
Jim Graner,WHKW
Jim Hawkins,BBC Radio Shropshire
Jim Honochick,American League
Jim Johnstone,National League
Jim Lanzone,CBS
Jim Maginnis,National League
Jim Matheson,Edmonton Journal
Jim McCabe,4fm
Jim O,Goldman Sachs
Jim Odom,American League
